time,SWD,TSLWU
2025-02-03 20:20:00.009155273,0.0,-0.01751709
2025-02-03 20:30:00.000000000,0.0,0.0284729
2025-02-03 20:39:59.990844726,0.0,-0.3777771
2025-02-03 20:50:00.009155273,0.0,-0.803833
2025-02-03 21:00:00.000000000,0.0,-1.7596436
2025-02-03 21:09:59.990844726,0.0,-2.3979797
2025-02-03 21:20:00.009155273,0.0,-1.5241089
2025-02-03 21:30:00.000000000,0.0,-1.3058472
2025-02-03 21:39:59.990844726,0.0,-1.7703857
2025-02-03 21:50:00.009155273,0.0,-0.56185913
2025-02-03 22:00:00.000000000,0.0,-0.15835571
2025-02-03 22:09:59.990844726,0.0,0.052215576
2025-02-03 22:20:00.009155273,0.0,0.11767578
2025-02-03 22:30:00.000000000,0.0,-0.16296387
2025-02-03 22:39:59.990844726,0.0,-0.63742065
2025-02-03 22:50:00.009155273,0.0,-0.91238403
2025-02-03 23:00:00.000000000,0.0,-0.98043823
2025-02-03 23:09:59.990844726,0.0,-1.2197876
2025-02-03 23:20:00.009155273,0.0,-1.450592
2025-02-03 23:30:00.000000000,0.0,-1.5864563
2025-02-03 23:39:59.990844726,0.0,-1.6193237
2025-02-03 23:50:00.009155273,0.0,-1.699585
2025-02-04 00:00:00.000000000,0.0,-1.702179
2025-02-04 00:09:59.990844726,0.0,-1.9506226
2025-02-04 00:20:00.009155273,0.0,-2.3265686
2025-02-04 00:30:00.000000000,0.0,-2.9866638
2025-02-04 00:39:59.990844726,0.0,-3.247406
2025-02-04 00:50:00.009155273,0.0,-2.629181
2025-02-04 01:00:00.000000000,0.0,-2.0746155
2025-02-04 01:09:59.990844726,0.0,-1.4542236
2025-02-04 01:20:00.009155273,0.0,-1.3309631
2025-02-04 01:30:00.000000000,0.0,-0.8851929
2025-02-04 01:39:59.990844726,0.0,-0.40194702
2025-02-04 01:50:00.009155273,0.0,-0.07980347
2025-02-04 02:00:00.000000000,0.0,0.15179443
2025-02-04 02:09:59.990844726,0.0,0.292511
2025-02-04 02:20:00.009155273,0.0,0.4180603
2025-02-04 02:30:00.000000000,0.0,0.5051575
2025-02-04 02:39:59.990844726,0.0,0.6078491
2025-02-04 02:50:00.009155273,0.0,0.71588135
2025-02-04 03:00:00.000000000,0.0,0.76342773
2025-02-04 03:09:59.990844726,0.0,0.79522705
2025-02-04 03:20:00.009155273,0.0,0.8265686
2025-02-04 03:30:00.000000000,0.0,0.8423767
2025-02-04 03:39:59.990844726,0.0,0.8796692
2025-02-04 03:50:00.009155273,0.0,0.9133301
2025-02-04 04:00:00.000000000,0.0,0.94104004
2025-02-04 04:09:59.990844726,0.0,0.96517944
2025-02-04 04:20:00.009155273,0.0,0.97817993
2025-02-04 04:30:00.000000000,0.0,1.0103455
2025-02-04 04:39:59.990844726,0.0,1.126648
2025-02-04 04:50:00.009155273,0.0,1.1554565
2025-02-04 05:00:00.000000000,0.0,1.1147766
2025-02-04 05:09:59.990844726,0.0,1.0618896
2025-02-04 05:20:00.009155273,0.0,0.98095703
2025-02-04 05:30:00.000000000,0.0,0.903656
2025-02-04 05:39:59.990844726,0.0,0.7638855
2025-02-04 05:50:00.009155273,0.0,0.6474304
2025-02-04 06:00:00.000000000,0.0,0.7123413
2025-02-04 06:09:59.990844726,0.0,0.697937
2025-02-04 06:20:00.009155273,0.0,0.49850464
2025-02-04 06:30:00.000000000,0.0,0.4890747
2025-02-04 06:39:59.990844726,0.0,0.73864746
2025-02-04 06:50:00.009155273,0.0,0.61553955
2025-02-04 07:00:00.000000000,0.36508852,0.81396484
2025-02-04 07:09:59.990844726,1.4668977,0.91522217
2025-02-04 07:20:00.009155273,4.5687075,0.91830444
